homelon,homelat,homecontinent,n
25.0136071,58.595272,Europe,1
24.603189,56.879635,Europe,1
-95.712891,37.09024,North America,1171
-86.241905,15.199999,North America,2
-102.552784,23.634501,North America,119
-106.346771,56.130366,North America,31
42.2362435,29.7248676,Asia,1
-119.4179324,36.778261,North America,33
-120.7401385,47.7510741,North America,67
-82.90712300000001,40.4172871,North America,66
-117.8311428,33.7174708,North America,2
127.766922,35.907757,Asia,15
104.195397,35.86166,Asia,143
105.318756,61.52401,Europe,130
2.213749,46.227638,Europe,19
127.510093,40.339852,Asia,66
53.688046,32.427908,Asia,110
-111.0937311,34.0489281,North America,43
43.679291,33.223191,Asia,88
-80.22134770000001,40.51697670000001,North America,2
-77.1945247,41.2033216,North America,55
138.252924,36.204824,Asia,20
-122.3608105,38.40157809999999,North America,1
133.775136,-25.274398,Australia,17
-76.64127119999999,39.0457549,North America,9
-81.5157535,27.6648274,North America,115
-118.2436849,34.0522342,North America,13
-99.9018131,31.9685988,North America,54
-88.89653,13.794185,North America,2
-111.0937311,39.3209801,North America,9
37.6172999,55.755826,Europe,4
-80.365865,26.190096,North America,1
-0.1277583,51.5073509,Europe,8
-97.326715,37.675122,North America,2
-118.8198209,34.2598767,North America,1
-3.435973,55.378051,Europe,8
-81.1637245,33.836081,North America,67
-80.4549026,38.5976262,North America,9
69.207486,34.5553494,Asia,1
-95.712891,37.09024,North America,1
8.227511999999999,46.818188,Europe,5
34.851612,31.046051,Asia,36
-84.2700179,37.8393332,North America,19
-79.9958864,40.44062479999999,North America,3
-85.60236429999999,44.3148443,North America,26
66.923684,48.019573,Asia,1
-86.902298,32.3182314,North America,31
8.468945999999999,60.47202399999999,Europe,1
-104.9388853,39.2587106,North America,1
38.996815,34.80207499999999,Asia,20
-80.0533746,26.7153424,North America,1
-78.6568942,37.4315734,North America,41
-87.2169149,30.42130899999999,North America,10
-89.3985283,32.3546679,North America,12
35.21371,31.768319,Asia,3
34.78176759999999,32.0852999,Asia,2
-117.1610838,32.715738,North America,6
-122.4194155,37.7749295,North America,3
50.5577,26.0667,Asia,2
78.96288,20.593684,Asia,16
-77.0368707,38.9071923,North America,44
30.802498,26.820553,Africa,7
35.243322,38.963745,Asia,2
67.709953,33.93911,Asia,13
-80.0580969,26.7753405,North America,1
-63.61667199999999,-38.416097,South America,5
121.774017,12.879721,Asia,9
108.277199,14.058324,Asia,13
105.8341598,21.0277644,Asia,3
-149.4936733,64.2008413,North America,9
116.4073963,39.90419989999999,Asia,1
127.766922,35.907757,Asia,2
139.6917064,35.6894875,Asia,1
45.079162,23.885942,Asia,24
-157.9642869,21.3420741,North America,1
-155.5827818,19.8967662,North America,7
103.819836,1.352083,Asia,1
-96.22528799999999,38.4048069,North America,2
-74.0059728,40.7127753,North America,1
-86.5804473,35.5174913,North America,22
-86.5804473,35.5174913,North America,1
35.5017767,33.8937913,Asia,1
-3.435973,55.378051,Europe,2
-115.1398296,36.1699412,North America,36
69.34511599999999,30.375321,Asia,4
-66.590149,18.220833,North America,29
-76.8867008,40.2731911,North America,2
-79.01929969999999,35.7595731,North America,31
-66.1057355,18.4655394,North America,3
-86.158068,39.768403,North America,4
-86.1349019,40.2671941,North America,32
-77.297508,18.109581,North America,2
-3.74922,40.46366700000001,Europe,3
-96.79698789999999,32.7766642,North America,23
-69.4454689,45.253783,North America,10
-74.0059728,40.7127753,North America,19
-99.133208,19.4326077,North America,1
-66.58973,6.42375,South America,4
-86.5861037,34.7303688,North America,1
101.975766,4.210484,Asia,2
-101.0020119,47.5514926,North America,2
-95.8860103,36.1404528,North America,1
-91.96233269999999,30.9842977,North America,16
-97.39638099999999,27.8005828,North America,1
-95.3698028,29.7604267,North America,2
-86.7816016,36.1626638,North America,13
-114.6276916,32.6926512,North America,2
-112.0740373,33.4483771,North America,20
-78.47667810000002,38.0293059,North America,8
-81.8723084,26.640628,North America,1
-71.0588801,42.3600825,North America,6
-87.6297982,41.8781136,North America,108
-74.4056612,40.0583238,North America,8
144.793731,13.444304,Australia,4
46.199616,5.152149,Africa,1
-116.419389,38.8026097,North America,24
-73.087749,41.6032207,North America,8
-74.0059728,40.7127753,North America,73
-88.7878678,43.7844397,North America,38
-83.0008326,39.9610692,North America,1
29.9187387,31.2000924,Africa,1
-80.6495194,41.0997803,North America,1
35.862285,33.854721,Asia,1
10.451526,51.165691,Europe,14
-74.68039999999999,40.669264,North America,1
2.3522219,48.856614,Europe,18
9.9936819,53.5510846,Europe,2
19.145136,51.919438,Europe,5
-95.712891,37.09024,North America,3
-3.435973,55.378051,Europe,8
-93.097702,41.8780025,North America,140
43.35689199999999,42.315407,Asia,20
31.1655799,48.379433,Europe,6
-80.782127,8.537981,North America,6
-80.1917902,25.7616798,North America,33
-84.5120196,39.1031182,North America,5
51.183884,25.354826,Asia,2
-2.2426305,53.4807593,Europe,4
-110.3625658,46.8796822,North America,3
12.56738,41.87194,Europe,3
4.3517211,50.8503463,Europe,7
46.6752957,24.7135517,Asia,1
-74.297333,4.570868,South America,1
-98.4842465,39.011902,North America,11
-118.3286614,34.0928092,North America,6
